sample,id,name,engName,type,paraPrIDRef,charPrIDRef
07_footnote,2,그림,,PARA,28,1
07_footnote,3,본문,Body,PARA,18,7
07_footnote,4,개요 1,Outline 1,PARA,20,12
07_footnote,5,개요 2,Outline 2,PARA,22,13
07_footnote,6,개요 3,Outline 3,PARA,23,13
07_footnote,7,개요 4,Outline 4,PARA,24,14
07_footnote,8,인용,,PARA,39,1
07_footnote,9,코드,,PARA,19,4
07_footnote,10,번호1,,PARA,35,7
07_footnote,11,표캡션,,PARA,2,1
07_footnote,12,번호2,,PARA,36,7
07_footnote,13,번호3,,PARA,37,7
07_footnote,14,네모,,PARA,31,16
07_footnote,15,동그라미,,PARA,32,16
07_footnote,16,줄,,PARA,33,16
07_footnote,17,개요 5,Outline 5,PARA,25,15
07_footnote,18,개요 6,Outline 6,PARA,4,0
07_footnote,19,개요 7,Outline 7,PARA,5,0
07_footnote,20,개요 8,Outline 8,PARA,15,0
07_footnote,21,개요 9,Outline 9,PARA,13,0
07_footnote,22,개요 10,Outline 10,PARA,14,0
07_footnote,23,쪽 번호,Page Number,CHAR,0,8
07_footnote,24,머리말,Header,PARA,6,2
07_footnote,25,각주,Footnote,PARA,7,10
07_footnote,26,미주,Endnote,PARA,7,3
07_footnote,27,메모,Memo,PARA,8,11
07_footnote,28,차례 제목,TOC Heading,PARA,9,5
07_footnote,29,차례 1,TOC 1,PARA,10,6
07_footnote,30,차례 2,TOC 2,PARA,11,6
07_footnote,31,차례 3,TOC 3,PARA,12,6
07_footnote,32,캡션,Caption,PARA,16,0
07_footnote,33,표내용,,PARA,0,17
07_footnote,34,FigureCaption,,PARA,3,19
08_references,0,바탕글,Normal,PARA,17,7
08_references,1,그림캡션,,PARA,30,1
08_references,2,그림,,PARA,28,1
08_references,3,본문,Body,PARA,18,7
08_references,4,개요 1,Outline 1,PARA,20,12
08_references,5,개요 2,Outline 2,PARA,22,13
08_references,6,개요 3,Outline 3,PARA,23,13
08_references,7,개요 4,Outline 4,PARA,24,14
08_references,8,인용,,PARA,40,1
08_references,9,코드,,PARA,19,4
08_references,10,번호1,,PARA,36,7
08_references,11,표캡션,,PARA,2,1
08_references,12,번호2,,PARA,37,7
08_references,13,번호3,,PARA,38,7
08_references,14,네모,,PARA,31,16
08_references,15,동그라미,,PARA,32,16
08_references,16,줄,,PARA,33,16
08_references,17,개요 5,Outline 5,PARA,25,15
08_references,18,개요 6,Outline 6,PARA,4,0
08_references,19,개요 7,Outline 7,PARA,5,0
08_references,20,개요 8,Outline 8,PARA,15,0
08_references,21,개요 9,Outline 9,PARA,13,0
08_references,22,개요 10,Outline 10,PARA,14,0
08_references,23,쪽 번호,Page Number,CHAR,0,8
08_references,24,머리말,Header,PARA,6,2
08_references,25,각주,Footnote,PARA,7,10
08_references,26,미주,Endnote,PARA,7,3
08_references,27,메모,Memo,PARA,8,11
08_references,28,차례 제목,TOC Heading,PARA,9,5
08_references,29,차례 1,TOC 1,PARA,10,6
08_references,30,차례 2,TOC 2,PARA,11,6
08_references,31,차례 3,TOC 3,PARA,12,6
08_references,32,캡션,Caption,PARA,16,0
08_references,33,표내용,,PARA,0,17
08_references,34,FigureCaption,,PARA,3,19
08_references,35,제목 1,,PARA,43,23
08_references,36,참고문헌,,PARA,42,24
09_equations,0,바탕글,Normal,PARA,17,7
09_equations,1,그림캡션,,PARA,30,1
09_equations,2,그림,,PARA,28,1
09_equations,3,본문,Body,PARA,18,7
09_equations,4,개요 1,Outline 1,PARA,20,12
09_equations,5,개요 2,Outline 2,PARA,22,13
09_equations,6,개요 3,Outline 3,PARA,23,13
09_equations,7,개요 4,Outline 4,PARA,24,14
09_equations,8,인용,,PARA,40,1
09_equations,9,코드,,PARA,19,4
09_equations,10,번호1,,PARA,36,7
09_equations,11,표캡션,,PARA,2,1
09_equations,12,번호2,,PARA,37,7
09_equations,13,번호3,,PARA,38,7
09_equations,14,네모,,PARA,31,16
09_equations,15,동그라미,,PARA,32,16
09_equations,16,줄,,PARA,33,16
09_equations,17,개요 5,Outline 5,PARA,25,15
09_equations,18,개요 6,Outline 6,PARA,4,0
09_equations,19,개요 7,Outline 7,PARA,5,0
09_equations,20,개요 8,Outline 8,PARA,15,0
09_equations,21,개요 9,Outline 9,PARA,13,0
09_equations,22,개요 10,Outline 10,PARA,14,0
09_equations,23,쪽 번호,Page Number,CHAR,0,8
09_equations,24,머리말,Header,PARA,6,2
09_equations,25,각주,Footnote,PARA,7,10
09_equations,26,미주,Endnote,PARA,7,3
09_equations,27,메모,Memo,PARA,8,11
09_equations,28,차례 제목,TOC Heading,PARA,9,5
09_equations,29,차례 1,TOC 1,PARA,10,6
09_equations,30,차례 2,TOC 2,PARA,11,6
09_equations,31,차례 3,TOC 3,PARA,12,6
09_equations,32,캡션,Caption,PARA,16,0
09_equations,33,표내용,,PARA,0,17
09_equations,34,FigureCaption,,PARA,3,19
09_equations,35,제목 1,,PARA,44,23
09_equations,36,참고문헌,,PARA,42,24
